id,frontSuspension1,rearSuspension1,frontSuspension2,rearSuspension2,frontStabilizer,rearStabilizer,frontBrakes,rearBrakes,frontTireSize,rearTireSize,turningCircle,brand,modelCar,fuel,cambio
1,"independent, wishbone",multilink,coil springs,coil springs,yes,yes,"ventilated discs, 280 mm","discs, 280 mm",205/45r17,205/45r17,"9,4 m",abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,"independent, wishbone",multilink,coil springs,coil springs,yes,yes,"ventilated discs, 280 mm","discs, 280 mm",205/45r17,205/45r17,"9,4 m",abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 305 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 305 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 305 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 305 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",205/40r17,205/40r17,"10,7 m",abarth,2017 Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha specs,G, Manual 
16,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 305 mm","discs, 240 mm",215/35r18,215/35r18,"10,7 m",abarth,2014 Abarth 695 Biposto specs,G, Manual 
17,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,6 m",abarth,2010 Abarth 500C 1.4 16v T-Jet Competizione specs,G, Automatic 
18,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,no,"ventilated discs, 305 mm","discs, 264 mm",215/45r17,215/45r17,"10,9 m",abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
19,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,yes,"ventilated discs, 284 mm","discs, 240 mm",195/45r16,195/45r16,"10,6 m",abarth,2008 Abarth 500 1.4 16v T-Jet specs,G, Manual 
20,"independent, mcpherson",semi-independent,coil springs,coil springs,yes,no,"ventilated discs, 305 mm","discs, 264 mm",215/45r17,215/45r17,"11,0 m",abarth,2008 Abarth Grande Punto 1.4 T-Jet 16v specs,2008 Abarth Grande Punto 1.4 T-Jet 16v specs, Manual 
