id,lowConsumption,mediumConsumption,highConsumption,veryHigh,combinedConsumption,co2Emissions,batteryRange,powerConsumption,brand,modelCar,fuel,cambio
1,,,,,,,,,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,,,,,,,,,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,,,,,,,,,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,,,,,,,,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,,,,,,,,,abarth,2017 Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha specs,G, Manual 
16,,,,,,,,,abarth,2014 Abarth 695 Biposto specs,G, Manual 
17,,,,,,,,,abarth,2010 Abarth 500C 1.4 16v T-Jet Competizione specs,G, Automatic 
18,,,,,,,,,abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
19,,,,,,,,,abarth,2008 Abarth 500 1.4 16v T-Jet specs,G, Manual 
20,,,,,,,,,abarth,2008 Abarth Grande Punto 1.4 T-Jet 16v specs,2008 Abarth Grande Punto 1.4 T-Jet 16v specs, Manual 
