id,heightAdjustmentSeat,lumbarSupportSeat,electricAdjustmentSeat,heatedSeats,ventilatedSeats,sportsSeats,leatherCoveredSteeringWheel,adjustableSteeringWheel,heatedSteeringWheel,leatherUpholstery,rearHeadrests,foldingRearSeats,slidingRearSeat,centerArmrest,automaticallyDimmingInteriorMirror,readingLamps,illuminatedMakeupMirror,adjustableDashboardLighting,tachometer,dayCounter,coolingWaterTemperatureGauge,outsideTemperatureGauge,boardComputer,audioSystem,digitalRadioDAB,steeringWheelControlsForAudio,audioInput,navigationSystem,bluetooth,brand,modelCar,fuel,cambio
1,,,,yes,,yes,yes,yes,,,,,,,,,,,yes,yes,yes,,,yes,yes,yes,yes(aux & usb),no,yes,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,,,,yes,,yes,yes,yes,,,,,,,,,,,yes,yes,yes,,,yes,yes,yes,yes(aux & usb),no,yes,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,yes(driver),,,,,yes,yes,yes,,yes,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,yes(driver),,,,,yes,yes,yes,,yes,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,yes(driver),,,,,yes,yes,yes,,€ 1.495,yes,yes(in parts),,,€ 195,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes(aux & usb),,yes,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
