id,newPrice2019,newPrice2018,newPrice2017,newPrice2016,brand,modelCar,fuel,cambio
1,€ 44.760,€ 47.256,€ 46.760,€ 45.495,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,€ 47.160,€ 49.797,€ 49.160,€ 47.495,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,€ 25.330,€ 25.030,€ 24.730,€ 23.510,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,€ 26.730,€ 26.730,€ 26.430,€ 25.210,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,€ 29.230,€ 28.930,€ 28.730,€ 26.530,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,€ 30.630,€ 30.630,€ 30.430,€ 28.230,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,€ 32.930,€ 32.630,€ 32.730,€ 30.579,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,€ 34.330,€ 34.330,€ 34.030,€ 32.279,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,€ 28.330,€ 28.030,€ 27.730,€ 26.210,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,€ 29.730,€ 29.730,€ 29.430,€ 27.910,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,€ 32.230,€ 31.930,€ 31.730,€ 29.430,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,€ 33.630,€ 33.630,€ 33.430,€ 31.130,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,€ 35.930,€ 35.630,€ 35.730,€ 33.479,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,€ 37.330,€ 37.330,€ 37.030,€ 35.179,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,€ 24.545,€ 23.200,€ 22.990,€ 22.990,abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
