id,Top,Acceleration,practiceConsumptionMonitor,brand,modelCar,fuel,cambio
1,232 km/h,"6,8 s",n.b.,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,229 km/h,"6,9 s",n.b.,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,210 km/h,"7,8 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,210 km/h,"8,0 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,218 km/h,"7,3 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,218 km/h,"7,4 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,225 km/h,"6,7 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,225 km/h,"6,9 s",n.b.,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,210 km/h,"7,8 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,210 km/h,"8,0 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,218 km/h,"7,3 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,218 km/h,"7,4 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,225 km/h,"6,7 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,225 km/h,"6,9 s",n.b.,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,218 km/h,"7,3 s",n.b.,abarth,2017 Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha specs,G, Manual 
16,230 km/h,"5,9 s",n.b.,abarth,2014 Abarth 695 Biposto specs,G, Manual 
17,205 km/h,"8,1 s",n.b.,abarth,2010 Abarth 500C 1.4 16v T-Jet Competizione specs,G, Automatic 
18,213 km/h,"7,9 s",n.b.,abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
19,205 km/h,"7,9 s","6,7 l/100km (1)",abarth,2008 Abarth 500 1.4 16v T-Jet specs,G, Manual 
20,208 km/h,"8,2 s","7,8 l/100km (2)",abarth,2008 Abarth Grande Punto 1.4 T-Jet 16v specs,2008 Abarth Grande Punto 1.4 T-Jet 16v specs, Manual 
