id,newPriceTax,newPriceRoadworthy,brand,modelCar,fuel,cambio
1,€ 44.760,,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,€ 47.160,,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,€ 25.330,,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,€ 26.730,,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,€ 29.230,,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,€ 30.630,,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,€ 32.930,,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,€ 34.330,,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,€ 28.330,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,€ 29.730,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,€ 32.230,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,€ 33.630,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,€ 35.930,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,€ 37.330,,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,€ 35.625,,abarth,2017 Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha specs,G, Manual 
16,€ 50.750,,abarth,2014 Abarth 695 Biposto specs,G, Manual 
17,€ 26.700,,abarth,2010 Abarth 500C 1.4 16v T-Jet Competizione specs,G, Automatic 
18,€ 24.545,,abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
19,€ 23.200,,abarth,2008 Abarth 500 1.4 16v T-Jet specs,G, Manual 
20,€ 21.990,,abarth,2008 Abarth Grande Punto 1.4 T-Jet 16v specs,2008 Abarth Grande Punto 1.4 T-Jet 16v specs, Manual 
