id,gear1,gear2,gear3,gear4,gear5,gear6,gear7,gear8,gear9,reverseGear,finalDrive,RpmAt120Km,brand,modelCar,fuel,cambio
1,"4,36:1","2,35:1","1,65:1","1,26:1","1,00:1","0,84:1",,,,"3,86:1","3,45:1",3.000 tpm,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Manual 
2,"3,54:1","2,06:1","1,40:1","1,00:1","0,71:1","0,58:1",,,,"3,17:1","3,58:1",2.150 tpm,abarth,2016 Abarth 124 Spider 1.4 MultiAir 16v specs,G, Automatic 
3,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,G, Manual 
4,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2016 Abarth 595 1.4 T-Jet 145 specs,F, Automatic 
5,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,G, Manual 
6,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 1.4 T-Jet 165 Turismo specs,F, Automatic 
7,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,G, Manual 
8,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 1.4 T-Jet 180 Competizione specs,F, Automatic 
9,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,G, Manual 
10,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,F, Automatic 
11,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,G, Manual 
12,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,F, Automatic 
13,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,G, Manual 
14,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,F, Automatic 
15,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.100 tpm,abarth,2017 Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha specs,G, Manual 
16,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.050 tpm,abarth,2014 Abarth 695 Biposto specs,G, Manual 
17,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2010 Abarth 500C 1.4 16v T-Jet Competizione specs,G, Automatic 
18,"3,91:1","2,12:1","1,48:1","1,12:1","0,90:1","0,77:1",,,,"4,00:1","4,18:1",3.250 tpm,abarth,2010 Abarth Punto Evo 1.4 T-Jet 16v specs,F, Manual 
19,"3,91:1","2,24:1","1,52:1","1,16:1","0,87:1",,,,,"3,91:1","3,35:1",3.200 tpm,abarth,2008 Abarth 500 1.4 16v T-Jet specs,G, Manual 
20,"3,91:1","2,12:1","1,48:1","1,12:1","0,90:1","0,77:1",,,,"4,00:1","4,18:1",3.250 tpm,abarth,2008 Abarth Grande Punto 1.4 T-Jet 16v specs,2008 Abarth Grande Punto 1.4 T-Jet 16v specs, Manual 
